Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率
Nate Wolters,MIL,24,21,14,7,11.7,2.0,2.7,35.1,0.3,0.0,0.3,33.3,0.4,1.2,1.6,1.0,0.6,0.4,0.1,0.9,6.3,0,0,-0.6,2015,0,False,0.67
Tyrus Thomas,MEM,28,2,2,0,3.3,2.0,0.5,100.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.8,0,0,0.5,2015,0,False,1.0
C.J. Wilcox,LAC,24,21,15,6,4.8,2.0,1.8,42.1,0.9,36.8,0.1,100.0,0.0,0.3,0.3,0.4,0.5,0.1,0.0,0.3,3.0,0,0,-0.9,2015,0,False,0.71
DeJuan Blair,WAS,26,29,15,14,6.2,1.9,2.0,45.6,0.0,0.0,0.2,66.7,0.6,1.4,1.9,0.1,0.4,0.2,0.0,1.4,4.8,0,0,-2.1,2015,0,False,0.52
Reggie Bullock,PHX,24,36,19,17,9.4,1.9,1.9,34.3,1.3,32.6,0.3,66.7,0.0,1.4,1.4,0.2,0.2,0.3,0.1,0.5,4.9,0,0,-0.1,2015,0,False,0.53
Greg Smith,DAL,24,42,27,15,8.6,1.9,1.2,61.2,0.0,0.0,0.9,51.3,0.6,1.3,1.9,0.2,0.3,0.2,0.3,1.3,5.5,0,0,-0.6,2015,0,False,0.64
Ian Clark,DEN,24,30,9,21,6.4,1.9,1.8,34.5,1.0,33.3,0.3,100.0,0.1,0.4,0.5,0.4,0.3,0.3,0.1,0.7,4.0,0,0,-1.4,2015,0,False,0.3
Drew Gordon,PHI,24,9,0,9,7.9,1.9,2.1,42.1,0.3,0.0,0.2,50.0,0.8,1.2,2.0,0.2,0.9,0.1,0.0,0.8,4.1,0,0,-3.8,2015,0,False,0.0
Will Cherry,TOR,24,8,6,2,8.7,1.9,2.4,26.3,1.1,22.2,0.8,50.0,0.1,0.5,0.6,1.0,0.5,0.8,0.1,1.3,6.3,0,0,-0.9,2015,0,False,0.75
Reggie Williams,SAS,28,20,15,5,5.3,1.9,2.0,38.5,1.0,15.8,0.2,100.0,0.3,0.6,0.9,0.5,0.1,0.1,0.0,0.6,3.7,0,0,-1.8,2015,0,False,0.75
Jared Cunningham,LAC,24,19,12,7,4.7,1.8,1.7,36.4,0.7,30.8,0.7,53.8,0.1,0.4,0.5,0.5,0.4,0.2,0.0,0.6,3.3,0,0,-0.3,2015,0,False,0.63
Kenyon Martin,MIL,37,11,7,4,9.5,1.8,2.0,40.9,0.0,0.0,0.2,100.0,0.5,1.2,1.7,0.5,0.3,0.5,0.5,1.2,7.3,0,0,-0.8,2015,0,False,0.64
Steve Novak,OKC,32,35,12,23,5.6,1.8,1.6,39.3,1.4,39.6,0.1,0.0,0.1,0.6,0.6,0.3,0.1,0.0,0.1,0.7,3.1,0,0,-1.5,2015,0,False,0.34
Joel Anthony,DET,32,49,25,24,8.3,1.8,1.3,58.1,0.0,0.0,0.4,68.2,0.7,1.2,1.9,0.1,0.2,0.2,1.0,1.1,7.7,0,0,0.2,2015,0,False,0.51
Landry Fields,TOR,27,26,16,10,8.3,1.8,1.6,48.8,0.1,50.0,0.2,83.3,0.4,0.6,1.0,0.6,0.3,0.4,0.0,0.3,4.8,0,0,-3.0,2015,0,False,0.62
Zoran Dragic,MIA,26,16,6,10,4.7,1.8,1.9,36.7,0.9,21.4,0.3,60.0,0.3,0.2,0.5,0.3,0.3,0.1,0.0,0.4,2.9,0,0,-0.9,2015,0,False,0.38
Chuck Hayes,TOR,32,29,17,12,8.8,1.7,1.6,47.8,0.0,0.0,0.4,54.5,0.6,1.1,1.8,0.7,0.3,0.3,0.1,1.3,6.0,0,0,1.3,2015,0,False,0.59
Jack Cooley,UTA,24,16,10,6,5.4,1.7,1.4,40.9,0.0,0.0,1.3,42.9,0.6,0.9,1.6,0.1,0.2,0.4,0.2,1.4,5.2,0,0,-0.3,2015,0,False,0.62
Miroslav Raduljica,MIN,27,5,0,5,4.6,1.6,1.6,37.5,0.0,0.0,0.4,100.0,0.4,0.6,1.0,0.0,0.4,0.2,0.0,1.6,3.0,0,0,-0.6,2015,0,False,0.0
Brendan Haywood,CLE,35,22,14,8,5.4,1.6,1.4,46.7,0.0,0.0,0.6,53.8,0.3,1.0,1.3,0.1,0.5,0.1,0.5,0.8,4.5,0,0,-2.3,2015,0,False,0.64
Chris Douglas-Roberts,LAC,28,12,5,7,8.5,1.6,1.8,23.8,0.6,14.3,0.7,100.0,0.1,0.9,1.0,0.3,0.0,0.1,0.0,1.2,3.5,0,0,-1.3,2015,0,False,0.42
Cartier Martin,DET,30,23,7,16,8.6,1.6,2.3,28.3,1.4,18.2,0.0,0.0,0.0,0.9,0.9,0.5,0.2,0.1,0.0,0.9,3.6,0,0,0.9,2015,0,False,0.3
Gal Mekel,DAL,27,4,2,2,10.9,1.5,5.0,15.0,0.8,0.0,0.0,0.0,0.0,0.3,0.3,3.3,0.5,0.5,0.0,0.3,7.7,0,0,0.5,2015,0,False,0.5
Jerel McNeal,PHX,28,6,1,5,6.1,1.5,1.8,27.3,0.3,50.0,0.3,100.0,0.0,0.5,0.5,0.3,0.8,0.5,0.2,0.8,3.8,0,0,-0.5,2015,0,False,0.17
Patrick Christopher,MEM,27,4,2,2,7.2,1.5,3.0,25.0,1.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.3,0.3,0.0,1.5,3.8,0,0,-4.5,2015,0,False,0.5
Bruno Caboclo,TOR,19,8,7,1,2.9,1.3,1.5,33.3,0.4,66.7,0.0,0.0,0.1,0.1,0.3,0.0,0.5,0.0,0.1,0.4,1.4,0,0,-3.4,2015,0,False,0.88
Ognjen Kuzmic,GSW,25,16,13,3,4.5,1.3,0.8,66.7,0.0,0.0,0.3,100.0,0.4,0.6,1.1,0.4,0.3,0.1,0.1,0.8,3.3,0,0,-2.4,2015,0,False,0.81
Toure' Murry,UTA,25,5,3,2,3.6,1.2,1.0,40.0,0.0,0.0,0.4,100.0,0.2,0.0,0.2,0.2,0.8,0.2,0.0,0.4,1.5,0,0,0.0,2015,0,False,0.6
Nazr Mohammed,CHI,37,23,13,10,5.6,1.2,1.3,43.3,0.0,0.0,0.1,33.3,0.5,1.2,1.7,0.1,0.3,0.2,0.2,0.7,4.2,0,0,0.4,2015,0,False,0.57
Shavlik Randolph,PHX,31,21,11,10,6.0,1.1,1.7,25.7,0.2,0.0,0.6,50.0,0.8,1.0,1.8,0.2,0.1,0.2,0.1,0.8,4.6,0,0,-1.1,2015,0,False,0.52
Gerald Wallace,BOS,32,32,15,17,8.9,1.1,1.1,41.2,0.1,33.3,0.5,40.0,0.5,1.3,1.8,0.3,0.6,0.5,0.1,0.6,5.0,0,0,0.9,2015,0,False,0.47
Jamaal Franklin,DEN,23,3,1,2,4.4,1.0,0.7,50.0,0.7,50.0,0.0,0.0,0.3,0.3,0.7,1.0,1.0,0.0,0.3,1.3,3.3,0,0,-3.0,2015,0,False,0.33
Lucas Nogueira,TOR,22,6,3,3,3.8,1.0,1.3,25.0,0.0,0.0,0.7,50.0,0.3,1.5,1.8,0.2,0.3,0.3,0.0,1.0,4.1,0,0,-1.8,2015,0,False,0.5
Brandon Rush,GSW,29,33,27,6,8.2,0.9,1.6,20.4,0.8,11.1,0.3,45.5,0.1,1.1,1.2,0.4,0.3,0.2,0.4,0.8,4.2,0,0,-3.8,2015,0,False,0.82
Ekpe Udoh,LAC,28,33,24,9,3.9,0.9,0.7,45.8,0.0,0.0,0.3,77.8,0.2,0.6,0.8,0.2,0.2,0.2,0.2,0.6,3.3,0,0,-0.3,2015,0,False,0.73
Greg Stiemsma,TOR,29,17,13,4,3.9,0.8,0.5,75.0,0.0,0.0,0.2,50.0,0.5,0.4,0.9,0.2,0.4,0.1,0.0,0.9,2.1,0,0,-1.6,2015,0,False,0.76
Alex Kirk,CLE,23,5,2,3,2.8,0.8,0.8,25.0,0.0,0.0,0.4,100.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,1.3,0,0,-2.8,2015,0,False,0.4
Andre Dawkins,MIA,23,4,2,2,5.4,0.8,1.5,16.7,1.5,16.7,0.0,0.0,0.0,0.5,0.5,0.3,0.3,0.0,0.0,0.8,1.5,0,0,-1.0,2015,0,False,0.5
Eric Moreland,SAC,23,3,0,3,0.7,0.7,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.1,0,0,0.3,2015,0,False,0.0
Sim Bhullar,SAC,22,3,1,2,0.9,0.7,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.0,2.6,0,0,0.3,2015,0,False,0.33
Dahntay Jones,LAC,34,33,23,10,3.7,0.6,0.6,28.6,0.1,0.0,0.3,81.8,0.0,0.3,0.3,0.1,0.0,0.1,0.0,0.7,1.4,0,0,-2.4,2015,0,False,0.7
Cameron Bairstow,CHI,24,18,12,6,3.5,0.6,0.8,21.4,0.0,0.0,0.3,80.0,0.3,0.1,0.4,0.1,0.2,0.1,0.1,0.4,1.5,0,0,-1.1,2015,0,False,0.67
Andrei Kirilenko,BKN,34,7,3,4,5.2,0.4,0.7,0.0,0.0,0.0,0.6,75.0,0.3,0.9,1.1,0.1,0.1,0.1,0.0,0.1,2.3,0,0,-4.1,2015,0,False,0.43
Darius Miller,NOP,25,5,1,4,8.7,0.4,1.4,14.3,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.2,0.0,1.6,1.6,0,0,-2.4,2015,0,False,0.2
David Wear,SAC,24,2,0,2,3.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,2.0,0,0,-4.5,2015,0,False,0.0
Jerrelle Benimon,DEN,23,2,2,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.5,0.0,0.0,0.0,1.3,0,0,3.0,2015,0,False,1.0
Kalin Lucas,MEM,26,1,0,1,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0,0,-7.0,2015,0,False,0.0
Malcolm Lee,PHI,25,1,0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,2015,0,False,0.0
Ronny Turiaf,MIN,32,2,0,2,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,2.1,0,0,-4.0,2015,0,False,0.0
Seth Curry,PHX,24,2,2,0,3.9,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,2.0,0,0,-2.0,2015,0,False,1.0
